Player,Rush Yds,Att,TD,20+,40+,Lng,Rush 1st,Rush 1st%,Rush FUM
Dare Ogunbowale,35,8,0,0,0,17,2,25,0
Jeff Driskel,33,7,0,0,0,13,4,57.1,0
Marquise Goodwin,33,4,0,1,0,20,2,50,0
Rashaad Penny,33,11,0,0,0,7,1,9.1,0
Lynn Bowden,32,5,0,1,0,29,3,60,1
Tutu Atwell,31,5,0,1,0,22,2,40,0
Brandon Bolden,31,4,1,1,0,26,2,50,0
Kadarius Toney,31,11,0,0,0,14,2,18.2,0
Ray-Ray McCloud,30,3,0,0,0,15,2,66.7,0
Marvin Mims Jr.,30,9,0,0,0,11,2,22.2,0
Clayton Tune,30,8,1,0,0,11,3,37.5,1
PJ Walker,30,13,0,0,0,9,3,23.1,1
Jameson Williams,29,3,1,0,0,19,1,33.3,0
Khari Blasingame,26,8,0,0,0,6,0,0,0
Derrick Gore,26,3,0,1,0,23,1,33.3,0
Kirk Cousins,25,14,0,0,0,10,6,42.9,3
Nick Mullens,25,10,0,0,0,6,4,40,0
Jakobi Meyers,24,4,2,0,0,17,3,75,0
Amon-Ra St. Brown,24,4,0,0,0,11,2,50,0
Mike Boone,23,5,0,0,0,11,2,40,1
Marquise Brown,23,2,0,1,0,29,1,50,0
Skyy Moore,23,3,0,0,0,11,1,33.3,0
Calvin Ridley,23,9,0,0,0,18,3,33.3,0
Demarcus Robinson,23,1,0,1,0,23,1,100,0
Sean Tucker,23,15,0,0,0,7,1,6.7,0
J.K. Dobbins,22,8,1,0,0,4,1,12.5,0
Erik Ezukanma,22,5,0,0,0,12,1,20,0
Trey Palmer,22,3,0,0,0,13,1,33.3,0
Tyrion Davis-Price,21,6,0,0,0,15,1,16.7,0
Jared Goff,21,32,2,0,0,11,5,15.6,2
Bo Melton,21,3,0,0,0,12,2,66.7,0
DJ Moore,21,4,1,0,0,16,1,25,0
Malik Willis,21,5,0,0,0,11,1,20,1
Gary Brightwell,19,9,0,0,0,5,0,0,0
Jacoby Brissett,19,3,0,0,0,10,0,0,0
Zach Evans,19,9,0,0,0,5,0,0,0
Hunter Luepke,19,6,1,0,0,9,5,83.3,0
Brett Rypien,19,3,0,0,0,8,1,33.3,0
Rashod Bateman,18,1,0,0,0,18,1,100,0
Treylon Burks,18,5,0,0,0,9,0,0,0
DeAndre Carter,18,3,0,0,0,15,2,66.7,0
George Pickens,18,3,0,0,0,16,2,66.7,0
Brandon Powell,17,5,0,0,0,9,1,20,0
Jalen Reagor,17,1,0,0,0,17,1,100,0
