Player,Rec,Yds,TD,20+,40+,LNG,Rec 1st,1st%,Rec FUM,Rec YAC/R,Tgts
Mike Williams,19,249,1,4,1,49,9,47.4,0,108,26
Tyler Allgeier,18,193,1,2,2,75,6,33.3,0,217,23
Mack Hollins,18,251,0,3,1,45,9,50,0,55,30
Hayden Hurst,18,184,1,1,1,48,7,38.9,0,67,32
Will Mallory,18,207,0,1,1,43,11,61.1,1,89,26
Irv Smith,18,115,1,0,0,14,5,27.8,1,66,26
Jamaal Williams,18,62,0,0,0,12,1,5.6,0,87,20
Calvin Austin III,17,180,1,1,1,72,7,41.2,0,73,30
Matt Breida,17,88,0,2,0,22,2,11.8,1,89,21
Will Dissly,17,172,1,2,0,21,8,47.1,0,120,22
Rico Dowdle,17,144,2,1,0,32,6,35.3,0,170,22
Clyde Edwards-Helaire,17,188,1,3,1,48,7,41.2,0,228,22
Brevin Jordan,17,219,2,3,0,27,13,76.5,0,124,21
Johnny Mundt,17,172,1,2,0,32,8,47.1,0,94,23
Latavius Murray,17,119,0,2,0,22,7,41.2,1,92,22
Tyler Scott,17,168,0,1,0,30,10,58.8,1,70,32
Deven Thompkins,17,83,1,1,0,26,5,29.4,1,74,25
Salvon Ahmed,16,88,1,1,0,20,4,25,0,109,23
Treylon Burks,16,221,0,4,1,70,8,50,0,71,30
Jamison Crowder,16,159,1,1,0,26,8,50,0,80,20
Alex Erickson,16,232,1,4,0,27,12,75,0,58,29
Bo Melton,16,218,1,3,0,37,13,81.2,0,37,24
John Metchie III,16,158,0,1,0,22,7,43.8,0,84,30
David Montgomery,16,117,0,0,0,19,7,43.8,0,149,24
Jeremy Ruckert,16,151,0,1,0,23,6,37.5,0,51,22
Parker Washington,16,132,2,0,0,19,5,31.2,1,34,21
Jordan Akins,15,132,0,1,0,28,6,40,0,58,23
Dalvin Cook,15,78,0,0,0,15,3,20,0,106,20
Derius Davis,15,66,0,0,0,18,0,0,0,115,17
Mecole Hardman,15,124,0,1,0,37,8,53.3,0,108,24
Deonte Harty,15,150,1,2,1,43,9,60,0,79,21
Malik Heath,15,125,1,0,0,16,6,40,0,35,24
Kareem Hunt,15,84,0,0,0,13,5,33.3,0,98,21
Andrei Iosivas,15,116,4,0,0,16,11,73.3,0,35,25
Kyle Philips,15,181,0,4,0,29,9,60,0,79,22
Quez Watkins,15,142,1,0,0,19,8,53.3,0,46,21
Zamir White,15,98,0,0,0,15,4,26.7,0,94,19
Jamal Agnew,14,225,1,2,2,65,8,57.1,1,76,21
David Bell,14,167,3,3,1,41,9,64.3,0,73,23
Chase Brown,14,156,1,2,1,54,4,28.6,0,194,15
Chase Edmonds,14,81,0,0,0,14,5,35.7,0,111,17
Elijah Higgins,14,163,1,3,0,26,9,64.3,0,67,19
KhaDarel Hodge,14,232,0,3,1,52,13,92.9,0,83,23
Kyle Juszczyk,14,119,2,1,0,22,8,57.1,0,58,17
Byron Pringle,14,161,0,1,0,26,7,50,0,31,22
Jeff Wilson,14,85,0,0,0,12,3,21.4,0,69,17
Mo Alie-Cox,13,161,3,2,0,35,9,69.2,0,80,22
Pharaoh Brown,13,208,1,5,1,58,8,61.5,1,121,15
Harrison Bryant,13,81,3,1,0,23,4,30.8,0,35,20
Luke Farrell,13,155,0,2,1,42,5,38.5,0,96,15
Lil'Jordan Humphrey,13,162,3,1,1,54,9,69.2,0,99,19
Alec Ingold,13,119,0,1,0,23,5,38.5,0,91,16
Donovan Peoples-Jones,13,155,0,2,0,29,7,53.8,0,35,25
Dameon Pierce,13,101,0,1,0,27,3,23.1,0,95,17
Tyquan Thornton,13,91,0,0,0,15,3,23.1,0,50,23
Brock Wright,13,91,1,1,0,25,2,15.4,0,49,14
Dyami Brown,12,168,1,2,0,35,8,66.7,0,76,23
Gus Edwards,12,180,0,2,1,80,5,41.7,1,145,13
Ray-Ray McCloud,12,135,0,2,1,41,7,58.3,0,87,15
A.T. Perry,12,246,4,5,1,44,10,83.3,0,20,18
Stephen Sullivan,12,125,0,1,0,20,5,41.7,0,8,24
KaVontae Turpin,12,127,3,2,0,34,9,75,0,37,18
Cam Akers,11,70,0,1,0,30,2,18.2,0,78,12
Andrew Beck,11,55,2,1,0,26,4,36.4,1,37,13
Lynn Bowden,11,83,0,0,0,17,2,18.2,0,57,16
D'Onta Foreman,11,77,1,0,0,17,6,54.6,0,65,16
Julio Jones,11,74,3,1,0,22,4,36.4,0,28,19
Tim Jones,11,83,0,0,0,15,4,36.4,0,31,18
Isaiah McKenzie,11,82,0,1,0,30,4,36.4,0,72,14
Scott Miller,11,161,2,2,2,56,6,54.6,0,80,16
Trent Sherfield,11,86,1,0,0,12,4,36.4,0,49,22
Stone Smartt,11,155,1,3,1,51,6,54.6,0,56,21
Patrick Taylor,11,49,0,0,0,16,4,36.4,0,59,17
Robert Tonyan,11,112,0,1,0,24,6,54.6,0,57,17
Cole Turner,11,120,0,2,0,29,4,36.4,0,50,15
Davis Allen,10,95,1,1,0,21,7,70,0,74,11
Jalen Guyton,10,89,1,0,0,18,6,60,0,32,21
Darrell Henderson,10,103,0,1,0,32,3,30,0,134,14
Richie James,10,114,0,1,1,45,5,50,0,61,14
D'Ernest Johnson,10,140,0,2,1,42,6,60,0,136,12
Kendre Miller,10,117,0,2,0,33,5,50,0,128,11
Laviska Shenault Jr.,10,60,0,0,0,14,2,20,0,85,10
Sterling Shepard,10,57,1,0,0,13,4,40,0,33,22
Geoff Swaim,10,94,0,1,0,26,4,40,0,30,11
Olamide Zaccheaus,10,164,2,4,0,34,7,70,0,52,20
River Cracraft,9,121,1,2,0,24,8,88.9,0,49,12
Keaton Mitchell,9,93,0,1,0,32,5,55.6,0,122,11
Andrew Ogletree,9,147,2,4,0,33,8,88.9,0,30,21
Cordarrelle Patterson,9,38,1,0,0,11,2,22.2,0,37,12
MyCole Pruitt,9,110,1,2,0,22,6,66.7,1,46,12
Josh Whyle,9,94,1,1,0,24,8,88.9,0,40,15
Mitchell Wilcox,9,56,0,0,0,12,2,22.2,0,48,12
Chase Claypool,8,77,1,1,0,20,4,50,0,25,21
Josiah Deguara,8,65,0,0,0,19,3,37.5,0,39,8
Xavier Hutchinson,8,90,0,1,0,34,3,37.5,0,20,19
Joshua Kelley,8,32,0,0,0,6,0,0,0,39,12
Lucas Krull,8,95,1,1,0,35,5,62.5,0,50,14
Luke Schoonmaker,8,65,2,0,0,18,5,62.5,0,27,15
Ben Skowronek,8,66,1,1,0,20,3,37.5,0,30,12
Ihmir Smith-Marsette,8,51,0,0,0,18,5,62.5,0,48,10
Samori Toure,8,78,0,1,0,35,4,50,0,18,18
C.J. Uzomah,8,58,1,0,0,19,5,62.5,0,33,12
Israel Abanikanda,7,43,0,0,0,13,2,28.6,0,46,11
Mike Boone,7,40,0,0,0,12,2,28.6,0,33,9
Darrynton Evans,7,49,0,0,0,17,2,28.6,0,69,12
C.J. Ham,7,25,0,0,0,7,1,14.3,0,20,9
Ty Johnson,7,62,1,1,0,28,2,28.6,0,60,7
Charlie Jones,7,64,0,1,0,35,3,42.9,0,38,9
Tony Jones,7,37,0,0,0,11,1,14.3,0,44,10
Charlie Kolar,7,87,1,0,0,19,5,71.4,0,17,9
Jalen Reagor,7,138,0,3,0,39,5,71.4,0,18,24
Deuce Vaughn,7,40,0,0,0,11,1,14.3,0,46,7
Darnell Washington,7,61,0,0,0,12,4,57.1,0,50,10
Trayveon Williams,7,10,0,0,0,5,0,0,0,35,9
Ronnie Bell,6,68,3,1,0,20,5,83.3,0,10,13
Raheem Blackshear,6,45,0,0,0,19,1,16.7,0,38,7
Jalen Brooks,6,64,0,1,0,24,4,66.7,0,28,6
DeeJay Dallas,6,26,0,0,0,14,1,16.7,0,31,9
Keelan Doss,6,33,0,0,0,9,1,16.7,0,14,13
Tyler Goodson,6,34,0,0,0,15,1,16.7,0,51,9
Jimmy Graham,6,39,4,0,0,12,6,100,0,3,7
Eric Gray,6,22,0,0,0,9,0,0,0,40,7
Julian Hill,6,48,0,0,0,18,2,33.3,1,30,9
Elijah Mitchell,6,14,0,0,0,9,2,33.3,0,26,8
Justyn Ross,6,53,0,1,0,20,2,33.3,0,15,11
Isaiah Spiller,6,34,0,0,0,10,1,16.7,0,39,6
Blake Bell,5,26,1,0,0,8,1,20,1,19,9
Gary Brightwell,5,47,0,0,0,18,2,40,0,53,7
Jason Brownlee,5,56,1,1,0,24,2,40,0,20,8
Randall Cobb,5,39,1,0,0,15,3,60,0,23,17
Payne Durham,5,58,0,1,0,25,3,60,0,16,7
Brycen Hopkins,5,78,0,2,0,29,3,60,0,32,7
Deon Jackson,5,14,0,0,0,8,0,0,1,20,6
Marvin Jones,5,35,0,0,0,16,2,40,1,9,10
Keith Kirkwood,5,37,1,0,0,13,3,60,0,1,9
Ty Montgomery,5,40,0,0,0,17,3,60,0,27,12
David Moore,5,94,1,1,1,52,3,60,0,62,7
Craig Reynolds,5,47,0,1,0,28,2,40,0,59,5
Patrick Ricard,5,52,1,1,0,28,3,60,0,35,7
Ronnie Rivers,5,22,0,0,0,10,0,0,0,41,5
Equanimeous St. Brown,5,62,0,1,0,21,3,60,0,7,6
Jack Stoll,5,38,0,0,0,14,2,40,0,25,8
Brenton Strange,5,35,1,0,0,17,2,40,0,28,9
Pierre Strong,5,47,0,1,1,41,1,20,0,73,8
Ian Thomas,5,56,0,1,0,28,1,20,0,33,9
Nate Adkins,4,22,0,0,0,11,1,25,0,24,5
Robbie Chosen,4,126,1,2,1,68,3,75,0,31,6
Lawrence Cager,4,36,1,0,0,10,2,50,0,27,5
Grant Calcaterra,4,39,0,0,0,12,3,75,0,32,4
DeAndre Carter,4,39,0,0,0,16,0,0,0,50,7
Nick Chubb,4,21,0,0,0,10,1,25,0,20,4
Britain Covey,4,42,0,1,0,22,2,50,0,26,6
Devin Duvernay,4,18,0,0,0,10,0,0,0,17,9
Marquise Goodwin,4,67,0,1,1,57,1,25,0,21,13
Peyton Hendershot,4,38,0,1,0,24,1,25,0,28,7
Keaontay Ingram,4,26,0,0,0,9,1,25,0,31,4
Rakim Jarrett,4,60,0,1,1,41,1,25,0,27,9
Velus Jones Jr.,4,20,0,0,0,11,1,25,0,15,7
Marcedes Lewis,4,29,1,0,0,16,2,50,0,29,5
Zach Pascal,4,19,0,0,0,9,1,25,0,12,15
Boston Scott,4,52,0,1,0,27,2,50,0,43,6
Ben Sims,4,21,1,0,0,12,3,75,0,18,6
Austin Trammell,4,29,0,0,0,14,2,50,0,35,7
Emanuel Wilson,4,23,0,0,0,9,1,25,0,30,5
Alex Armah,3,13,0,0,0,10,1,33.3,0,27,3
Nick Bawden,3,21,0,0,0,8,1,33.3,0,22,3
Khari Blasingame,3,2,0,0,0,4,0,0,0,5,6
Miles Boykin,3,17,0,0,0,6,0,0,0,2,4
Michael Burton,3,8,0,0,0,4,2,66.7,0,6,3
Chris Conley,3,69,0,1,1,48,2,66.7,0,28,6
Elijah Cooks,3,38,0,1,0,23,2,66.7,0,8,4
Jashaun Corbin,3,12,0,0,0,7,1,33.3,0,13,3
Greg Dulcich,3,25,0,0,0,13,2,66.7,0,5,4
Melvin Gordon,3,46,0,1,0,23,3,100,0,28,3
Kevin Harris,3,58,0,1,1,48,2,66.7,0,59,3
Hunter Luepke,3,18,0,0,0,12,1,33.3,0,16,4
Jordan Mason,3,31,0,0,0,13,1,33.3,0,23,4
D.J. Montgomery,3,56,1,1,0,34,3,100,0,28,8
Jalen Nailor,3,29,0,0,0,16,1,33.3,0,21,6
La'Mical Perine,3,33,0,1,0,25,1,33.3,0,32,5
Eric Saubert,3,12,0,0,0,5,1,33.3,0,6,3
Trey Sermon,3,13,0,0,0,7,0,0,0,6,6
Steven Sims,3,25,0,1,0,23,1,33.3,0,27,3
Keith Smith,3,33,0,1,0,28,1,33.3,0,15,3
Charlie Woerner,3,32,0,1,0,20,1,33.3,0,20,3
Kayshon Boutte,2,19,0,0,0,11,1,50,0,10,7
J.K. Dobbins,2,15,0,0,0,10,0,0,0,15,3
Elijah Dotson,2,13,0,0,0,7,0,0,0,14,2
Kenyan Drake,2,31,0,1,0,24,0,0,1,36,3
Damien Harris,2,16,0,0,0,13,0,0,0,16,2
Trishton Jackson,2,9,0,0,0,7,0,0,0,7,4
Tyler Johnson,2,8,1,0,0,8,1,50,0,1,3
Chris Manhertz,2,16,0,0,0,10,1,50,0,10,4
Anthony McFarland,2,11,0,0,0,6,1,50,0,7,2
James Mitchell,2,28,0,1,0,24,1,50,0,12,2
Quintin Morris,2,26,1,0,0,15,1,50,0,5,3
Dare Ogunbowale,2,18,0,0,0,14,0,0,0,5,7
Adam Prentice,2,12,0,0,0,7,0,0,0,8,3
Teagan Quitoriano,2,33,0,1,0,22,2,100,0,18,3
Chris Rodriguez Jr.,2,12,0,0,0,7,1,50,0,19,2
Willie Snead,2,14,0,0,0,9,0,0,0,3,3
Malik Taylor,2,13,0,0,0,7,0,0,0,7,4
Sean Tucker,2,9,0,0,0,6,0,0,0,12,2
Ke'Shawn Vaughn,2,2,0,0,0,3,0,0,0,1,5
David Wells,2,-10,0,0,0,1,1,50,1,-10,2
Damien Williams,2,12,0,0,0,8,0,0,0,11,2
Kenny Yeboah,2,28,0,1,0,20,1,50,0,20,4
Tank Bigsby,1,6,0,0,0,6,0,0,0,5,4
Ben Bredeson,1,0,0,0,0,0,0,0,0,2,1
Jake Browning,1,-7,0,0,0,-7,0,0,0,0,1
Khalil Dorsey,1,31,0,1,0,31,1,100,0,9,1
Colton Dowell,1,3,0,0,0,3,0,0,0,0,2
Ross Dwelley,1,12,0,0,0,12,1,100,0,12,2
Brandin Echols,1,18,0,0,0,18,1,100,0,8,1
Chris Evans,1,-1,0,0,0,-1,0,0,0,0,1
Simi Fehoko,1,9,1,0,0,9,1,100,0,7,2
Tucker Fisk,1,9,0,0,0,9,1,100,0,6,1
John FitzPatrick,1,12,0,0,0,12,1,100,0,10,1
Cole Fotheringham,1,6,0,0,0,6,0,0,0,5,1
